RT	Mass	Rank	DistFromMS2	noise	SWpval	derivChanges	zeroCounts	maxInt	rtWindow	kurtosis	skew	outsideInt	DistToInflPtL2R	DistToInflPtR2L
2554.96	2559.61	0	8.714049228	1	4.14E-06	2	2	5929.738281	9.52	5.166666667	1.619847741	660.7837728	1	1
2514.23	2521.13	0	6.29077958	0	4.14E-06	2	2	5123.92334	12.18	5.166666667	1.619847741	0	1	1
2511.03	2518.03	0	13.01455887	0	4.14E-06	2	2	3405.692139	13.84	5.166666667	1.619847741	0	1	1
2568.18	2572.04	0	4.505950772	0	4.14E-06	2	2	2400.914795	7.54	5.166666667	1.619847741	0	1	1
2541.11	2548.23	0	5.776380821	0	4.14E-06	2	2	8575.941406	12.4	5.166666667	1.619847741	0	1	1
2521.13	2530.91	0	2.149009179	0	1.83E-05	4	3	5869.423828	16.68	2.787758859	1.120295447	0	0.375	0.375
2518.23	2524.43	0	0.172682834	0	4.14E-06	2	2	4747.459473	13.09	5.166666667	1.619847741	0	1	1
2506.66	2516.53	0	33.04556658	0	0.02050253	5	3	8850.359375	21.61	1.328459762	-0.130967687	0	0.1	0.3
2538.17	2545.16	0	21.592836	0	4.14E-06	2	2	6000.235352	13.68	5.166666667	1.619847741	0	1	1
2561.05	2565.44	0	10.84278396	1	4.14E-06	2	2	6627.77832	10.55	5.166666667	1.619847741	917.2041016	1	1
2528.61	2535.63	0	22.06545685	1	4.14E-06	2	2	6906.853027	12.31	5.166666667	1.619847741	413.5862223	1	1
2513.86	2522.8	0	26.57646767	2	0.00016816	2	2	7196.714844	14.24	2.702427572	1.024155879	1150.056571	0.857142857	0.857142857
2533.88	2540.46	0	17.82798005	0	0.000134409	4	3	3393.060303	20.16	1.901945502	0.781673642	0	0.333333333	0.333333333
2578.03	2583.55	0	7.443078785	0	4.14E-06	2	2	2319.253906	10.81	5.166666667	1.619847741	0	1	1
2525.11	2536.77	0	8.787531294	1	0.000105691	4	3	2365.615479	18.54	1.851539414	0.769754047	152.9773356	0.333333333	0.333333333
2538.17	2545.16	0	28.39373141	0	0.000111319	2	2	2724.308838	15.97	2.415420994	0.962590951	0	0.857142857	0.857142857
2600.62	2605.64	0	25.5470816	0	4.14E-06	2	2	5238.485352	11.7	5.166666667	1.619847741	0	1	1
2547.69	2553.08	0	9.658480859	0	4.14E-06	2	2	2094.407959	10.06	5.166666667	1.619847741	0	1	1
2465.49	2472.88	0	10.36524498	0	4.14E-06	2	2	2794.416504	14.46	5.166666667	1.619847741	0	1	1
2465.32	2472.54	0	2.376176707	0	4.14E-06	2	2	4774.18457	14.24	5.166666667	1.619847741	0	1	1
2524.86	2538.17	0	23.096495	0	1.04E-05	4	3	7808.196289	20.14	3.97748131	1.415273884	0	0.888888889	0.888888889
2574.35	2580.33	0	27.83609848	0	4.14E-06	2	2	2680.476318	9.13	5.166666667	1.619847741	0	1	1
2590.73	2596.01	0	25.16896227	1	4.14E-06	2	2	4776.361816	11.99	5.166666667	1.619847741	649.0032145	1	1
2572.49	2576.75	0	25.99326568	0	4.14E-06	2	2	3621.916504	7.48	5.166666667	1.619847741	0	1	1
2520.28	2529.73	0	21.94943196	2	0.000193141	4	3	6170.422363	18.39	2.132932854	0.848319638	1035.361681	0.333333333	0.333333333
2626.26	2632.77	0	25.92355066	0	4.14E-06	2	2	2104.118408	13.5	5.166666667	1.619847741	0	1	1
2576.07	2581.71	0	23.38168597	0	4.14E-06	2	2	2269.548096	12.12	5.166666667	1.619847741	0	1	1
2586.64	2590.93	0	5.468634447	0	4.14E-06	2	2	2082.135254	9.16	5.166666667	1.619847741	0	1	1
2595.5	2600.87	0	12.93125068	0	0.000178647	2	2	7800.789551	10.66	2.799731578	1.045189443	0	0.857142857	0.857142857
2655.8	2665.74	0	29.90507112	1	0.000218377	6	4	5660.405273	22.73	2.469444874	0.967439246	204.0710246	0.416666667	0.25
2620.46	2630.49	0	3.535011526	0	2.22E-05	4	3	4784.597656	15.56	2.810963407	1.124845126	0	0.375	0.375
2586.64	2590.93	0	11.72486264	0	4.14E-06	2	2	3873.653564	9.16	5.166666667	1.619847741	0	1	1
2596.29	2600.87	0	22.49093675	0	4.14E-06	2	2	2292.989502	9.97	5.166666667	1.619847741	0	1	1
2654.2	2659.21	0	27.26816044	0	4.14E-06	2	2	1806.466919	10.48	5.166666667	1.619847741	0	1	1
2702.81	2705.54	0	5.007070513	0	4.14E-06	2	2	2728.030518	5.58	5.166666667	1.619847741	0	1	1
2603.34	2609.76	0	27.58689719	0	4.14E-06	2	2	2691.867676	11.44	5.166666667	1.619847741	0	1	1
2633.41	2640.99	0	14.13302779	1	2.84E-05	4	3	4585.305176	11.88	4.942167831	1.560258947	215.6039734	0.375	0.375
2710.11	2716.99	0	16.78121727	1	4.14E-06	2	2	6121.70459	10.75	5.166666667	1.619847741	400.0933024	1	1
2754.33	2769.16	0	2.596120246	2	5.12E-05	4	3	4174.984375	21.69	2.573608498	1.011594029	533.8028809	0.8	0.8
2684.71	2693.24	0	19.24259791	2	0.000112129	4	3	6743.627441	17.3	4.820611383	1.478061637	988.6009928	0.333333333	0.333333333
2700.91	2710.72	0	5.08792015	2	0.000237072	2	2	7774.576172	15.18	4.923529918	1.488196845	893.4491577	0.375	0.375
2679.69	2693.22	0	16.99252395	2	0.000465137	6	4	5640.280273	22.46	2.694140661	0.919262568	429.6406062	0.230769231	0.230769231
2678.69	2683.3	0	3.543993372	0	4.14E-06	2	2	3700.958496	7.84	5.166666667	1.619847741	0	1	1
